id	paper	permanent_id	host	sample_type	latitude	longitude	continent	year_of_sampling_from	year_of_sampling_to	Biome	primers	MAT	MAP	pH	SOC	ITS_total	manipulated	abundances
36147	231	GF05010514S	?	root	53.8739	-1.33536	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	628	6.5	6.8	27372	0	14
36148	231	GF05010519S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	17921	0	1
36219	708	GF01013202S	Geranium dissectum	root	45.0708	1.45139	Europe	2016	2016	grassland	ITS3/ITS4-OF then ITS86F/ITS4	12.1	1011	6.2	4.1	1871	0	5
36352	82	GF05023036S	Pinus sylvestris L.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	60553	0	1
36462	836	GF01000703S	Phragmites australis	root	42.6433	-83.7028	North America	2015	2015	shrubland	ITS1F/ITS4	8.9	834	6.2	16.9	72234	0	356
36892	38	GF05026892S	?	root	48.49	9.31	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.6	1068	5.7	11.4	75543	0	1
37650	837	GF01000702S	Ilex paraguariensis	root	-25.833	-53.9323	South America	2013	2013	cropland	ITS1F/ITS4	21	2059	5.4	2.4	58874	0	1
37763	231	GF05010487S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	56299	0	93
37807	82	GF05022942S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	30879	0	1
38203	410	GF04005505S	?	root	45.11	5.85	Europe	2014	2014	forest	fITS7/ITS4	6.4	1414	5.3	19	2867	0	1
38427	42	GF05026729S	Benthamia africana	root	-21.1188	55.6433	Africa	2019	2019	shrubland	ITS86F/ITS4	19.2	3535	5.1	8.8	8268	0	8
38429	643	GF02000140S	Populus trichocarpa x deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	9953	0	20
38639	167	GF05015741S	Elaeis guineensis	root	3.403	102.028	Asia	2017	2017	cropland	fITS7/ITS4	26.3	2184	4.7	2.5	53250	0	4
38671	38	GF05027178S	?	root	51.34	10.36	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.5	736	5.2	19.4	16407	0	1
38862	14	GF05029692S	Erica cinerea	root	51.1699	3.1547	Europe	2018	2018	forest	ITS86F/ITS4	10.6	814	5	7.2	4324	0	1
39216	418	GF04005000S	Gymnadenia conopsea	root	51.7	124.333	Asia	2018	2018	grassland	ITS3/ITS4	-2.1	480	5.8	15.1	29257	0	166
39714	231	GF05010527S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	46987	0	134
39828	82	GF05022992S	Pinus sylvestris L.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	14798	0	1
40320	231	GF05010528S	?	root	53.8689	-1.32606	Europe	2016	2016	grassland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	26410	0	384
40639	643	GF02000143S	Populus trichocarpa x deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	10594	0	1
40726	643	GF02000144S	Populus deltoides	root	35.84	-83.96	North America	2014	2014	forest	ITS3/ITS4	14.9	1192	5.7	5.7	107109	0	12
40793	38	GF05027196S	?	root	51.14	10.38	Europe	2017	2017	forest	ITS3_KYO2/ITS4	7.9	679	5.7	16.7	95068	0	1
41381	38	GF05027436S	?	root	53.04	13.79	Europe	2017	2017	forest	ITS3_KYO2/ITS4	8.8	596	4.8	17.7	26282	0	1
41742	80	GF05023164S	Panicum virgatum	root	35.735	-78.702	North America	2018	2018	grassland	5.8S_FUN/ITS4_FUN	15.8	1154	5.2	4.7	22943	0	5
42106	479	GF04000354S	Alnus glutinosa	root	50.8875	4.99102	Europe	2018	2018	forest	ITS86F/ITS4	10.4	739	6.2	2.3	9711	0	10
42751	160	GF05016069S	Nicotiana tabacum	root	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	22420	0	4
43018	231	GF05010525S	?	root	53.8689	-1.32606	Europe	2016	2016	cropland	ITS1F/ITS4 then gITS7/ITS4	9.6	631	6.5	13	997	0	3
43175	82	GF05022961S	Pinus sylvestris L.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	89041	0	1
43390	160	GF05016071S	Nicotiana tabacum	root	25.7886	112.621	Asia	2016	2016	cropland	5.8S_Fun/ITS4_Fun	19	1533	6.4	12.6	11554	0	12
43704	387	GF04007940S	Schizachyrium scoparium	root	36.0417	-94.8137	North America	2015	2015	grassland	fITS7/ITS4	15.1	1219	5.6	12.7	36015	0	1
44944	836	GF01000704S	Phragmites australis	root	42.6433	-83.7028	North America	2015	2015	shrubland	ITS1F/ITS4	8.9	834	6.2	16.9	37359	0	158
45018	569	GF03004098S	Najas guadalupensis	root	39.5153	-121.629	North America	2015	2015	aquatic	ITS9/ITS4	17.9	799	6.2	5.7	24742	0	1
45041	82	GF05023047S	Betula pendula Roth.	root	62.6	29.9	Europe	2015	2015	forest	ITS3ngsMixTag1-5/ITS4ngs	3.3	608	4.4	27.6	28799	0	1
